[2019/11/2-00:19:23][INFO][main.cpp main() :69][core config init success]
[2019/11/2-00:19:23][INFO][main.cpp main() :77][memery pools init success]
[2019/11/2-00:19:23][INFO][cserver_deamon.cpp init_deamon() :15][init_deamon() pid = 30515 ppid = 1]
[2019/11/2-00:19:23][INFO][cserver_proc_loops.cpp mainWorkProcessLoops() :12][father process pid = 30515]
[2019/11/2-00:19:23][INFO][cserver_proc_loops.cpp mainWorkProcessLoops() :23][create child process pid = 30516]
[2019/11/2-00:19:23][INFO][cserver_proc_loops.cpp mainWorkProcessLoops() :23][create child process pid = 30517]
[2019/11/2-00:19:23][INFO][cserver_proc_loops.cpp mainWorkProcessLoops() :23][create child process pid = 30518]
[2019/11/2-00:19:23][INFO][cserver_proc_loops.cpp mainWorkProcessLoops() :23][create child process pid = 30519]
[2019/11/2-00:19:43][INFO][cserver_proc_loops.cpp mainWorkProcessLoops() :23][create child process pid = 30535]
[2019/11/2-00:19:43][INFO][cserver_proc_loops.cpp mainWorkProcessLoops() :23][create child process pid = 30536]
[2019/11/2-00:19:43][INFO][cserver_proc_loops.cpp mainWorkProcessLoops() :23][create child process pid = 30537]
[2019/11/2-00:19:43][INFO][cserver_proc_loops.cpp mainWorkProcessLoops() :23][create child process pid = 30538]
[2019/11/2-00:19:43][INFO][cserver_proc_loops.cpp mainWorkProcessLoops() :23][create child process pid = 30539]
[2019/11/2-00:19:43][INFO][cserver_proc_loops.cpp mainWorkProcessLoops() :23][create child process pid = 30540]
[2019/11/2-00:20:03][INFO][cserver_proc_loops.cpp mainWorkProcessLoops() :23][create child process pid = 30568]
[2019/11/2-00:20:03][INFO][cserver_proc_loops.cpp mainWorkProcessLoops() :23][create child process pid = 30569]
[2019/11/2-00:20:03][INFO][cserver_proc_loops.cpp mainWorkProcessLoops() :23][create child process pid = 30570]
[2019/11/2-00:20:03][INFO][cserver_proc_loops.cpp mainWorkProcessLoops() :23][create child process pid = 30571]
[2019/11/2-00:20:23][INFO][cserver_proc_loops.cpp mainWorkProcessLoops() :23][create child process pid = 30606]
